"Comprobante Nro","Empresa","Glosa","Cliente - Proyeccto","Emisión","Forma de pago","Moneda","SubTotal","Monto a depositar","Detracción","Pago","Cliente","Expediente","Attachments","ID","Estado"
"F0A1-126","iBit","Servicio - Adecuaciones a Sistema A3Kaizen para  Soporte Versión Trial - 30%","Global Lean - Adecuación Sistema A3Kaizen para Soporte Versión Trial","26/06/2025","30 días","Dólares","1,107.90","1,150.44","156.88",,"GLOBAL LEAN S.L.",,"0","489","Facturado"
"F001-021","iLabs","Servicio de migración y Upgrade de Microsoft SQL para Zenware -Cliente Final : Cenares","Noventiq - Cenares - Migración SQL","1/07/2025","45 días","Dólares","19,500.00","20,248.80","2,761.20",,"NOVENTIQ INTERNATIONAL PERU S.A.C.",,"0","466","Facturado"
"F0A1-128","iBit","Sección 1: Desarrollo de Memos / reembolsos - Fin Analisis","Chinalco - Portal de Recepción y Pre-Registro PPF 2","3/07/2025","Inmediato","Dólares","10,500.00","10,903.20","1,486.80",,"MINERA CHINALCO PERÚ S.A.",,"0","457","Facturado"
"F0A1-132","iBit","Hito 1 - 30% de $2360","Khipu - Cashflow Fase 1","11/07/2025","30 días","Dólares","708.00","735.19","100.25",,"Khipu Travel",,"0","458","Facturado"
"F0A1-","iBit","Layher - Implementación de ECommerce en Microsoft.Net - LayherShop - Hito 1 Inicio del Servicio","Layher - LayherShop ","16/07/2025","30 días","Dólares","6,600.00","6,853.44","934.56",,"LAYHER PERU SAC",,"0","505","Pendiente de facturar"
"F0A1-","iBit","Hito 2 - 20% de $2360","Khipu - Cashflow Fase 1","1/08/2025","Inmediato","Dólares","472.00","490.12","66.84",,"Khipu Travel",,"0","459","Proyectado a facturar"
"F0A1-","iLabs","Mentoría Cashflow - 70%","Gytres - Consultoría Cashflow","5/08/2025","30 días","Dólares","490.00","508.82","69.38",,"GESTION Y TRANSPORTE DE RESIDUOS SOCIEDAD ANONIMA CERRADA - GYTRES S.A.C",,"0","501","Proyectado a facturar"
"F0A1-","iBit","Los Portales - Migración de CRM Dynamics a SharePoint - Inicio","Los Portales - Migración de CRM Dynamics a SharePoint","5/08/2025","30 días","Dólares","950.00","986.48","134.52",,"LOS PORTALES S.A.",,"0","509","Proyectado a facturar"
"F0A1-","iBit","Sección 2 - Liquidaciones - Inicio de etapa SEC 2 (última factura)","Chinalco - Portal de Recepción y Pre-Registro PPF 2","6/08/2025","30 días","Dólares","16,348.00","16,975.76","2,314.88",,"MINERA CHINALCO PERÚ S.A.",,"0","472","Proyectado a facturar"
"F0A1-","iBit","KMMP - Horas Soporte  atendidas en Julio 2025","KMMP - Bolsa de horas SIM v5 - OC 2040275118 ","7/08/2025","30 días","Dólares","805.00","835.91","113.99",,"KOMATSU-MITSUI MAQUINARIAS PERU S.A.",,"0","516","Proyectado a facturar"
"F0A1-","iBit","Layher - Implementación Módulo de Liquidaciones con Microsoft .Net - Hito 3/3 30%","Layher - Liquidaciones","8/08/2025","30 días","Dólares","6,423.60","6,670.27","909.58",,"LAYHER PERU SAC",,"0","480","Proyectado a facturar"
"E001-","iBit","Hito 3:  Factura del 10% al cierre del servicio (consumo total de horas o 12 meses) con pago a 30 días","Noventiq - Cofide - Azure Devops Server 26AGO2024","12/08/2025","30 días","Dólares","600.00","623.04","84.96",,"NOVENTIQ INTERNATIONAL PERU S.A.C.",,"0","406","Proyectado a facturar"
"F0A1-","iLabs","IEB Roby Fase 2 - Hito 3","IEB Global - Roby Fase 2","13/08/2025","Inmediato","Dólares","0.00","0.00","0.00",,"IEB Translation Services S.A.",,"0","434","Proyectado a facturar"
"F0A1-","iBit","Hito 3 - 20% de $2360","Khipu - Cashflow Fase 1","13/08/2025","30 días","Dólares","472.00","490.12","66.84",,"Khipu Travel",,"0","460","Proyectado a facturar"
"F0A1-","iBit","Hito 3 - Al Término del desarrollo","KMMP - SMR","15/08/2025","45 días","Dólares","12,005.08","12,466.08","1,699.92",,"KOMATSU-MITSUI MAQUINARIAS PERU S.A.",,"0","443","Proyectado a facturar"
